HDF5_Version: 1.12.1
NeXus_version: 4.3.0
creator: simple_example_basic_write.py
default: entry
file_name: simple_example_basic.nexus.hdf5
file_time: 2022-06-15T14:31:39.410075+02:00
h5py_version: 3.6.0
instrument: APS USAXS at 32ID-B
#	mr	I00
0	17.9261	1037
1	17.9259	1318
2	17.9258	1704
3	17.9256	2857
4	17.9254	4516
5	17.9252	9998
6	17.9251	23819
7	17.9249	31662
8	17.9247	40458
9	17.9246	49087
10	17.9244	56514
11	17.9243	63499
12	17.9241	66802
13	17.9239	66863
14	17.9237	66599
15	17.9236	66206
16	17.9234	65747
17	17.9232	65250
18	17.9231	64129
19	17.9229	63044
20	17.9228	60796
21	17.9226	56795
22	17.9224	51550
23	17.9222	43710
24	17.9221	29315
25	17.9219	19782
26	17.9217	12992
27	17.9216	6622
28	17.9214	4198
29	17.9213	2248
30	17.9211	1321
